행정구역별,2015,2016,2017,2018,2019,2020
전국,27260,27536,27738,27896,28184,28014
서울특별시,5391,5372,5396,5335,5319,5293
부산광역시,1756,1754,1766,1729,1741,1712
대구광역시,1291,1301,1291,1282,1266,1232
인천광역시,1567,1598,1607,1645,1653,1634
광주광역시,755,753,766,779,778,778
대전광역시,797,800,791,792,806,816
울산광역시,590,599,605,602,596,585
세종특별자치시,106,118,132,152,172,185
경기도,6653,6767,6953,7058,7226,7193
강원도,765,771,811,812,841,827
충청북도,862,867,880,898,908,919
충청남도,1242,1266,1174,1216,1231,1218
전라북도,938,960,944,940,953,956
전라남도,987,994,988,988,999,998
경상북도,1478,1490,1488,1488,1488,1478
경상남도,1736,1763,1775,1801,1817,1802
제주특별자치도,346,363,371,379,390,388
